site_id,month_year,forecast_kwh,lower_bound,upper_bound,expected_kwh,model_used
Site_003,2026-04-01,7929.0,6740.0,9118.0,12369.0,Random Forest
Site_003,2026-05-01,14294.0,12150.0,16438.0,13632.0,Random Forest
Site_003,2026-06-01,15201.0,12921.0,17481.0,13372.0,Random Forest
Site_003,2026-07-01,15214.0,12932.0,17497.0,14479.0,Random Forest
Site_003,2026-08-01,15042.0,12785.0,17298.0,13359.0,Random Forest
Site_003,2026-09-01,6029.0,5125.0,6933.0,11705.0,Random Forest
Site_003,2026-10-01,5086.0,4323.0,5849.0,9153.0,Random Forest
Site_003,2026-11-01,2694.0,2290.0,3098.0,7005.0,Random Forest
Site_003,2026-12-01,2409.0,2048.0,2770.0,6485.0,Random Forest
Site_010,2026-04-01,1232.0,1047.0,1417.0,911.0,Random Forest
Site_010,2026-05-01,1292.0,1098.0,1486.0,1004.0,Random Forest
Site_010,2026-06-01,1301.0,1106.0,1496.0,985.0,Random Forest
Site_010,2026-07-01,1366.0,1161.0,1571.0,1066.0,Random Forest
Site_010,2026-08-01,1332.0,1133.0,1532.0,984.0,Random Forest
Site_010,2026-09-01,1173.0,997.0,1349.0,862.0,Random Forest
Site_010,2026-10-01,636.0,540.0,731.0,674.0,Random Forest
Site_010,2026-11-01,534.0,454.0,614.0,516.0,Random Forest
Site_010,2026-12-01,497.0,423.0,572.0,476.0,Random Forest
Site_013,2026-04-01,6097.0,5182.0,7012.0,8495.0,Random Forest
Site_013,2026-05-01,5987.0,5089.0,6885.0,9362.0,Random Forest
Site_013,2026-06-01,5828.0,4954.0,6702.0,9183.0,Random Forest
Site_013,2026-07-01,6419.0,5456.0,7382.0,9943.0,Random Forest
Site_013,2026-08-01,5504.0,4679.0,6330.0,9174.0,Random Forest
Site_013,2026-09-01,4966.0,4221.0,5710.0,8039.0,Random Forest
Site_013,2026-10-01,2265.0,1925.0,2605.0,6286.0,Random Forest
Site_013,2026-11-01,2044.0,1738.0,2351.0,4811.0,Random Forest
Site_013,2026-12-01,1035.0,880.0,1191.0,4454.0,Random Forest
Site_023,2026-04-01,2452.0,2085.0,2820.0,2931.0,Random Forest
Site_023,2026-05-01,2417.0,2055.0,2780.0,3230.0,Random Forest
Site_023,2026-06-01,2264.0,1924.0,2604.0,3169.0,Random Forest
Site_023,2026-07-01,2299.0,1954.0,2644.0,3431.0,Random Forest
Site_023,2026-08-01,2201.0,1871.0,2532.0,3166.0,Random Forest
Site_023,2026-09-01,2035.0,1730.0,2340.0,2774.0,Random Forest
Site_023,2026-10-01,1177.0,1001.0,1354.0,2169.0,Random Forest
Site_023,2026-11-01,1128.0,959.0,1297.0,1660.0,Random Forest
Site_023,2026-12-01,980.0,833.0,1127.0,1535.0,Random Forest
Site_025,2026-04-01,1534.0,1304.0,1764.0,2042.0,Random Forest
Site_025,2026-05-01,1511.0,1285.0,1738.0,2250.0,Random Forest
Site_025,2026-06-01,1448.0,1231.0,1666.0,2207.0,Random Forest
Site_025,2026-07-01,1543.0,1311.0,1774.0,2390.0,Random Forest
Site_025,2026-08-01,1515.0,1288.0,1743.0,2205.0,Random Forest
Site_025,2026-09-01,1365.0,1160.0,1569.0,1932.0,Random Forest
Site_025,2026-10-01,1069.0,909.0,1229.0,1511.0,Random Forest
Site_025,2026-11-01,982.0,834.0,1129.0,1156.0,Random Forest
Site_025,2026-12-01,940.0,799.0,1081.0,1072.0,Random Forest
