feature,importance
expected_kwh,1806.6921855172598
lag_1m,1036.5769609824965
lag_12m,231.94651411481712
roll_avg_3m,84.37695999521836
month_cos,76.92695991066249
roll_avg_12m,31.427750053297714
expected_roll_3m,28.710416099252424
lag_6m,22.615527267010965
lag_3m,22.046358261194356
expected_roll_12m,20.64833725308223
roll_avg_6m,19.168127950786637
expected_roll_6m,16.1104610499846
month,14.811238243217863
month_sin,11.944579750844035
year,10.612081853248903
is_winter,10.492871984400669
is_spring,7.795152837768597
is_summer,5.652834838057207
avg_impact,3.4358937333857362
quarter,3.3998900156979297
string_fault_count,2.373289746281337
has_critical_alert,2.100914992789668
total_historical_alerts,1.72118567016984
is_autumn,1.2344960898026869
inverter_fault_count,0.31454305420712003
grid_fault_count,0.0
